location;date;cases;deaths;tests;vaccinations
Andorra;04.06.2020;1.0;0.0;;
Andorra;05.06.2020;0.0;0.0;;
Andorra;06.06.2020;0.0;0.0;;
Andorra;07.06.2020;0.0;0.0;;
Andorra;08.06.2020;0.0;0.0;;
Andorra;09.06.2020;0.0;0.0;;
Andorra;10.06.2020;0.0;0.0;;
Andorra;11.06.2020;0.0;0.0;;
Andorra;12.06.2020;1.0;0.0;;
Andorra;13.06.2020;0.0;0.0;;
Andorra;14.06.2020;0.0;0.0;;
Andorra;15.06.2020;0.0;0.0;;
Andorra;16.06.2020;1.0;1.0;;
Andorra;17.06.2020;0.0;0.0;;
Andorra;18.06.2020;1.0;0.0;;
Andorra;19.06.2020;0.0;0.0;;
Andorra;20.06.2020;0.0;0.0;;
Andorra;21.06.2020;0.0;0.0;;
Andorra;22.06.2020;0.0;0.0;;
Andorra;23.06.2020;0.0;0.0;;
Andorra;24.06.2020;0.0;0.0;;
Andorra;25.06.2020;0.0;0.0;;
Andorra;26.06.2020;0.0;0.0;;
Andorra;27.06.2020;0.0;0.0;;
Andorra;28.06.2020;0.0;0.0;;
Andorra;29.06.2020;0.0;0.0;;
Andorra;30.06.2020;0.0;0.0;;
Andorra;01.07.2020;0.0;0.0;;
Andorra;02.07.2020;0.0;0.0;;
Andorra;03.07.2020;0.0;0.0;;
Andorra;04.07.2020;0.0;0.0;;
Andorra;05.07.2020;0.0;0.0;;
Andorra;06.07.2020;0.0;0.0;;
Andorra;07.07.2020;0.0;0.0;;
Andorra;08.07.2020;0.0;0.0;;
Andorra;09.07.2020;0.0;0.0;;
Andorra;10.07.2020;0.0;0.0;;
Andorra;11.07.2020;0.0;0.0;;
Andorra;12.07.2020;0.0;0.0;;
Andorra;13.07.2020;3.0;0.0;;
Andorra;14.07.2020;3.0;0.0;;
Andorra;15.07.2020;1.0;0.0;;
Andorra;16.07.2020;15.0;0.0;;
Andorra;17.07.2020;3.0;0.0;;
Andorra;18.07.2020;0.0;0.0;;
Andorra;19.07.2020;0.0;0.0;;
Andorra;20.07.2020;4.0;0.0;;
Andorra;21.07.2020;0.0;0.0;;
Andorra;22.07.2020;5.0;0.0;;
Andorra;23.07.2020;0.0;0.0;;
Andorra;24.07.2020;8.0;0.0;;
Andorra;25.07.2020;0.0;0.0;;
Andorra;26.07.2020;0.0;0.0;;
Andorra;27.07.2020;10.0;0.0;;
Andorra;28.07.2020;0.0;0.0;;
Andorra;29.07.2020;11.0;0.0;;
Andorra;30.07.2020;4.0;0.0;;
Andorra;31.07.2020;3.0;0.0;;
Andorra;01.08.2020;0.0;0.0;;
Andorra;02.08.2020;0.0;0.0;;
Andorra;03.08.2020;12.0;0.0;;
Andorra;04.08.2020;2.0;0.0;;
Andorra;05.08.2020;0.0;0.0;;
Andorra;06.08.2020;5.0;0.0;;
Andorra;07.08.2020;11.0;0.0;;
Andorra;08.08.2020;0.0;0.0;;
Andorra;09.08.2020;0.0;0.0;;
Andorra;10.08.2020;8.0;0.0;;
Andorra;11.08.2020;0.0;0.0;;
Andorra;12.08.2020;14.0;1.0;;
Andorra;13.08.2020;4.0;0.0;;
Andorra;14.08.2020;8.0;0.0;;
Andorra;15.08.2020;0.0;0.0;;
Andorra;16.08.2020;0.0;0.0;;
Andorra;17.08.2020;16.0;0.0;;
Andorra;18.08.2020;0.0;0.0;;
Andorra;19.08.2020;19.0;0.0;;
Andorra;20.08.2020;0.0;0.0;;
Andorra;21.08.2020;21.0;0.0;;
Andorra;22.08.2020;0.0;0.0;;
Andorra;23.08.2020;0.0;0.0;;
Andorra;24.08.2020;15.0;0.0;;
Andorra;25.08.2020;0.0;0.0;;
Andorra;26.08.2020;38.0;0.0;;
Andorra;27.08.2020;0.0;0.0;;
Andorra;28.08.2020;26.0;0.0;;
Andorra;29.08.2020;0.0;0.0;;
Andorra;30.08.2020;0.0;0.0;;
Andorra;31.08.2020;52.0;0.0;;
Andorra;01.09.2020;8.0;0.0;;
Andorra;02.09.2020;15.0;0.0;;
Andorra;03.09.2020;0.0;0.0;;
Andorra;04.09.2020;16.0;0.0;;
Andorra;05.09.2020;0.0;0.0;;
Andorra;06.09.2020;0.0;0.0;;
Andorra;07.09.2020;46.0;0.0;;
Andorra;08.09.2020;0.0;0.0;;
Andorra;09.09.2020;40.0;0.0;;
Andorra;10.09.2020;0.0;0.0;;
Andorra;11.09.2020;43.0;0.0;;
Andorra;12.09.2020;0.0;0.0;;
Andorra;13.09.2020;0.0;0.0;;
Andorra;14.09.2020;94.0;0.0;;
Andorra;15.09.2020;0.0;0.0;;
Andorra;16.09.2020;45.0;0.0;;
Andorra;17.09.2020;0.0;0.0;;
Andorra;18.09.2020;81.0;0.0;;
Andorra;19.09.2020;0.0;0.0;;
Andorra;20.09.2020;0.0;0.0;;
Andorra;21.09.2020;117.0;0.0;;
Andorra;22.09.2020;0.0;0.0;;
Andorra;23.09.2020;72.0;0.0;;
Andorra;24.09.2020;0.0;0.0;;
Andorra;25.09.2020;83.0;0.0;;
Andorra;26.09.2020;0.0;0.0;;
Andorra;27.09.2020;0.0;0.0;;
Andorra;28.09.2020;130.0;0.0;;
Andorra;29.09.2020;0.0;0.0;;
Andorra;30.09.2020;84.0;0.0;;
Andorra;01.10.2020;0.0;0.0;;
Andorra;02.10.2020;60.0;0.0;;
Andorra;03.10.2020;0.0;0.0;;
Andorra;04.10.2020;0.0;0.0;;
Andorra;05.10.2020;260.0;0.0;;
